#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

# The endianness of binary files: 0=big endian (default), 1=little endian.
# Little endian is only tested for encoding UTF-8 (need examples of analysis).
@ENDIAN = 0

# If 1, then enable legacy (GameCube) mode for old binary BMG files.
# If enabled, ENCODING is always CP1252.
@LEGACY = 0

# Define encoding of BMG: 1=CP1252, 2=UTF-16/be, 3=Shift-JIS, 4=UTF-8
@ENCODING = 2

# Create »MID1« section: 0=off, 1=on
@BMG-MID = 0

# Size of each element of section 'INF1' (MKW=8).
# This setting has impact to attributes and MKW features.
@INF-SIZE = 0x08

# Default attribute values for this BMG (MKW=[1])
@DEFAULT-ATTRIBS = [0]

# Use MKW specific color names: 0=off, 1=auto, 2=on
@COLOR-NAMES = 1

# Use MKW messages and track names: 0=off, 1=auto, 2=on
@MKW-MESSAGES = 1

#
#------------------------------------------------------------------------------

# This part defines values for unknown parameters of section headers.
@UNKNOWN-INF32-0C =   0x100000	# 32 bit value of section INF1 offset 0x0c
	+ of free space in Wii system memory.\n
	+ \n
	+ Refer to the Wii Operations\n
	+ Manual for details.
    1f	= There is an abnormal number\n
	+ of files in Wii system memory.\n
	+ \n
	+ Refer to the Wii Operations\n
	+ Manual for details.
    20	/
    21	= The Wii system memory\n
	+ has been damaged.\n
	+ \n
	+ Refer to the Wii Operations\n
	+ Manual for details.
    22	= Saving...\n
	+ Don't turn off the power or\n
	+ press RESET.
    23	/
    24	= Could not access Wii system\n
	+ memory.\n
	+ \fRefer to the Wii Operations\n
	+ Manual for details.
    25	= An error occurred while\n
	+ accessing Wii system memory.\n
	+ \fRefer to the Wii Operations\n
	+ Manual for details.
    26	= The save data cannot be read.\n
	+ You cannot start the game.\n
	+ Please contact a Nintendo Service\n
	+ Center. For more information,\n
	+ see the Wii Operations Manual.\n
	+ The error code is %03d%03d.\n
	+ \n
	+ Please press and hold the\n
	+ POWER Button for at least\n
	+ four seconds to turn the\n
	+ console off.	
    27	= There is a problem with the\n
	+ Wii system memory, so\n
	+ WiiConnect24 cannot be\n
	+ used.
    28	= To use WiiConnect24, a\n
	+ system update is required.\n
	+ Refer to the Wii Operations\n
	+ Manual for details.
    29	= WiiConnect24 cannot be\n
	+ used because an error has\n
	+ occurred. Reset and try\n
	+ again.
    2a	= WiiConnect24 is\n
	+ temporarily unavailable.\n
	+ Please try again later.
    2b	= The WiiConnect24 setting\n
	+ is not turned on. Please\n
	+ check the settings under\n
	+ Wii Options. Refer to the\n
	+ Wii Operations Manual for\n
	+ details.
    2c	= An Internet connection\n
	+ cannot be established, so\n
	+ WiiConnect24 cannot be\n
	+ used. Check the Internet\n
	+ settings and connection.\n
	+ Refer to the Wii Operations\n
	+ Manual for details.
    2d	= WiiConnect24 is\n
	+ temporarily unavailable.\n
	+ Please try again later.
    2e	== WiiConnect24 is\n
	+ temporarily unavailable.\n
	+ Please try again later.
    2f	= There is a problem with the\n
	+ Wii system memory, so\n
	+ WiiConnect24 cannot be\n
	+ used.
    30	= WiiConnect24 cannot be\n
	+ used because an error has\n
	+ occurred. Reset and try\n
	+ again.\n
    31	/
    32	= Use of network features has\n
	+ been restricted.\n
	+ \n
	+ \n
	+ Please check the settings\n
	+ for Parental Controls under\n
	+ Wii Options.
    33	/
    34	/
    35	/
    36	/
    37	= Yes
    38	= No
    39	/
    3a	= Return
    3b	/
    3c	/
    3d	/
    3e	= Return to the Wii Menu.
    3f	/
    40	/
    41	/
    42	/
    43	/
    44	/
    45	/
    46	/
    47	/
    48	/
    49	/
    4a	= Unable to load Mii Channel data.
	+ Please access the Mii Channel
	+ and check Mii Channel data.
    4b	= My Pokémon Ranch
    4c	/
    4d	/
    4e	/
    4f	/
    50	/
    51	/
    52	/
    53	/
    54	/
    55	/
    56	/
    57	/
    58	/
    59	/
    5a	/
    5b	/

