#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

# The endianness of binary files: 0=big endian (default), 1=little endian.
# Little endian is only tested for encoding UTF-8 (need examples of analysis).
@ENDIAN = 0

# If 1, then enable legacy (GameCube) mode for old binary BMG files.
# If enabled, ENCODING is always CP1252.
@LEGACY = 0

# Define encoding of BMG: 1=CP1252, 2=UTF-16/be, 3=Shift-JIS, 4=UTF-8
@ENCODING = 2

# Create »MID1« section: 0=off, 1=on
@BMG-MID = 0

# Size of each element of section 'INF1' (MKW=8).
# This setting has impact to attributes and MKW features.
@INF-SIZE = 0x08

# Default attribute values for this BMG (MKW=[1])
@DEFAULT-ATTRIBS = [0]

# Use MKW specific color names: 0=off, 1=auto, 2=on
@COLOR-NAMES = 1

# Use MKW messages and track names: 0=off, 1=auto, 2=on
@MKW-MESSAGES = 1

#
#------------------------------------------------------------------------------

# This part defines values for unknown parameters of section headers.
@UNKNOWN-INF32-0C =    0xb0000	# 32 bit value of section INF1 offset 0x0c
@UNKNOWN-MID16-0A =     0x1000	# 16 bit value of section MID1 offset 0x0a
@UNKNOWN-MID32-0C =          0	# 32 bit value of section MID1 offset 0x0c

#
#------------------------------------------------------------------------------

     0	= %{}は %{}と おしゃべりしてるみたい
     1	= %{}は %{}と おしゃべりしてるみたい
     2	= %{}は %{}と おしゃべりしてるみたい
     3	= %{}は だれかと おしゃべりしてるのかな
     4	= %{}は だれかと おしゃべりしてるのかな
     5	= %{}は だれかと おしゃべりしてるのかな
     6	= %{}は おなかが すいてるみたい
     7	= %{}は %{}に おやつを あげた
     8	= %{}は %{}に おやつを あげた
     9	= %{}は うれしそう
     a	= %{}は うれしそう
     b	= %{}は うれしそう
     c	= %{}は にんきものだ
     d	= %{}は にんきものだ
     e	= %{}は %{}を おいかけてるのかな
     f	= %{}は %{}を おいかけてるのかな
    10	= %{}は %{}を おいかけてるのかな
    11	= %{}は だれかを おいかけてるみたい
    12	= %{}は だれかを おいかけてるみたい
    13	= %{}は だれかを おいかけてるみたい
    14	= %{}は %{}から にげてるのかな
    15	= %{}は %{}から にげてるのかな
    16	= %{}は %{}から にげてるのかな
    17	= %{}は だれかから にげてるみたい
    18	= %{}は だれかから にげてるみたい
    19	= %{}は だれかから にげてるみたい
    1a	= %{}は %{}を なでてる
    1b	= %{}は %{}を なでてる
    1c	= %{}は %{}を はこんでる
    1d	= %{}は %{}を もちあげられるかな
    1e	= あっ!
    1f	= %{}は はこぶのを あきらめたのかな
    20	= %{}は なんだか たのしそう
    21	= %{}は なんだか たのしそう
    22	= %{}は なんだか たのしそう
    23	= %{}は ごきげんだ
